 x(m),T(K)
   0.00000, 300.00000
   0.05051, 300.00967
   0.10101, 300.01933
   0.15152, 300.02900
   0.20202, 300.03866
   0.25253, 300.04833
   0.30303, 300.05800
   0.35354, 300.06766
   0.40404, 300.07733
   0.45455, 300.08699
   0.50505, 300.09666
   0.55556, 300.10633
   0.60606, 300.11599
   0.65657, 300.12566
   0.70707, 300.13532
   0.75758, 300.14499
   0.80808, 300.15466
   0.85859, 300.16432
   0.90909, 300.17399
   0.95960, 300.18365
   1.01010, 300.19332
   1.06061, 300.20299
   1.11111, 300.21265
   1.16162, 300.22232
   1.21212, 300.23198
   1.26263, 300.24165
   1.31313, 300.25132
   1.36364, 300.26098
   1.41414, 300.27065
   1.46465, 300.28032
   1.51515, 300.28998
   1.56566, 300.29965
   1.61616, 300.30931
   1.66667, 300.31898
   1.71717, 300.32865
   1.76768, 300.33831
   1.81818, 300.34798
   1.86869, 300.35764
   1.91919, 300.36731
   1.96970, 300.37698
   2.02020, 300.38664
   2.07071, 300.39631
   2.12121, 300.40597
   2.17172, 300.41564
   2.22222, 300.42531
   2.27273, 300.43497
   2.32323, 300.44464
   2.37374, 300.45430
   2.42424, 300.46397
   2.47475, 300.47364
   2.52525, 300.48330
   2.57576, 300.49297
   2.62626, 300.50263
   2.67677, 300.51230
   2.72727, 300.52197
   2.77778, 300.53163
   2.82828, 300.54130
   2.87879, 300.55096
   2.92929, 300.56063
   2.97980, 300.57030
   3.03030, 300.57996
   3.08081, 300.58963
   3.13131, 300.59929
   3.18182, 300.60896
   3.23232, 300.61863
   3.28283, 300.62829
   3.33333, 300.63796
   3.38384, 300.64762
   3.43434, 300.65729
   3.48485, 300.66696
   3.53535, 300.67662
   3.58586, 300.68629
   3.63636, 300.69595
   3.68687, 300.70562
   3.73737, 300.71529
   3.78788, 300.72495
   3.83838, 300.73462
   3.88889, 300.74428
   3.93939, 300.75395
   3.98990, 300.76362
   4.04040, 300.77328
   4.09091, 300.78295
   4.14141, 300.79262
   4.19192, 300.80228
   4.24242, 300.81195
   4.29293, 300.82161
   4.34343, 300.83128
   4.39394, 300.84095
   4.44444, 300.85061
   4.49495, 300.86028
   4.54545, 300.86994
   4.59596, 300.87961
   4.64646, 300.88928
   4.69697, 300.89894
   4.74747, 300.90861
   4.79798, 300.91827
   4.84848, 300.92794
   4.89899, 300.93761
   4.94949, 300.94727
   5.00000, 300.95694
